timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.71,-0.07,0.05,-1.16,-1.40,0.92
10,-9.75,-0.44,-0.95,0.67,-0.73,0.92
20,-9.62,-0.55,0.79,2.56,0.31,0.98
30,-9.90,-0.15,1.17,0.79,-0.24,0.79
40,-9.82,-0.07,-0.61,-2.08,-1.16,0.67
50,-9.85,-0.26,-1.51,-1.46,-1.22,0.85
60,-9.57,-0.40,-0.31,1.71,-0.12,0.92
70,-9.73,-0.50,1.38,-0.61,-0.49,0.73
80,-9.81,-0.10,-1.28,-2.32,-1.40,0.85
90,-9.71,-0.10,-1.19,-0.18,-0.92,0.92
100,-9.91,-0.57,0.59,2.20,0.24,0.85
110,-9.77,-0.43,1.13,1.22,0.24,0.73
120,-9.62,-0.04,-0.22,-1.77,-1.10,0.55
130,-9.76,-0.14,-1.43,-1.89,-1.46,0.67
140,-9.42,-0.43,0.95,2.38,0.24,0.79
150,-9.91,-0.12,0.79,0.06,-0.31,0.73
160,-9.78,-0.05,-0.97,-2.26,-1.34,0.79
170,-9.83,-0.34,-1.40,-0.79,-1.04,0.73
180,-9.90,-0.33,0.17,2.01,-0.06,0.79
190,-9.72,-0.43,1.26,1.65,0.31,0.79
200,-9.89,-0.21,0.03,-1.34,-0.92,0.73
210,-9.85,-0.24,-0.92,0.37,-0.79,0.85
220,-9.68,-0.68,0.75,2.50,0.31,0.92
230,-9.73,-0.37,1.10,0.73,-0.24,0.98
240,-9.71,-0.08,-0.62,-2.26,-1.53,0.79
250,-9.78,-0.16,-1.46,-1.34,-1.40,0.79
260,-9.40,-0.47,-0.26,1.59,-0.31,0.92
270,-9.82,-0.52,1.37,2.14,-0.61,0.85
280,-9.76,-0.13,-1.28,-2.14,-1.53,0.73
290,-9.69,-0.20,-1.20,-0.12,-0.92,0.79
300,-9.97,-0.36,0.66,2.38,0.06,0.79
310,-9.84,-0.45,1.13,1.22,0.06,0.92
320,-9.74,-0.08,-0.27,-1.83,-1.04,0.85
330,-9.85,-0.16,-1.48,-1.89,-1.40,0.92
340,-9.65,-0.35,-0.61,2.69,0.24,0.85
350,-9.88,-0.22,0.83,0.06,-0.06,0.79
360,-9.74,-0.09,-0.96,-2.38,-1.34,0.67
370,-9.79,-0.31,-1.44,-0.67,-1.16,0.79
380,-9.73,-0.45,0.10,2.38,-0.06,0.98
390,-9.68,-0.43,1.37,2.08,0.12,0.92
400,-9.85,-0.12,0.16,-1.22,-0.85,0.85
410,-9.77,-0.09,-1.13,0.43,-0.67,0.98
420,-9.72,-0.59,0.79,2.75,0.49,0.98
430,-9.77,-0.28,1.23,0.92,0.06,0.98
440,-9.80,-0.12,-0.58,-2.14,-1.34,0.85
450,-9.82,-0.23,-1.56,-1.40,-1.34,0.92
460,-9.48,-0.43,-0.40,1.71,-0.18,0.98
470,-9.93,-0.47,1.35,2.44,0.43,1.04
480,-9.83,-0.11,-1.23,-2.44,-1.46,0.73
490,-9.68,-0.19,-1.36,-0.31,-0.98,0.85
500,-9.92,-0.48,0.54,2.32,0.12,0.85
510,-9.82,-0.38,1.22,1.65,0.24,0.92
520,-9.68,0.01,-0.09,-1.53,-1.04,0.79
530,-9.74,-0.18,-1.49,-1.89,-1.46,0.79
540,-9.60,-0.45,-0.70,0.85,0.31,0.98
550,-9.91,-0.15,1.02,0.18,-0.31,0.79
560,-9.72,-0.09,-0.83,-2.32,-1.40,0.79
570,-9.88,-0.35,-1.47,-1.04,-1.34,0.92
580,-9.85,-0.35,-0.09,2.08,-0.12,0.98
590,-9.74,-0.44,1.36,2.20,0.18,1.04
600,-9.83,-0.16,0.24,-1.04,-0.79,1.04
610,-9.84,-0.03,-1.30,0.06,-0.79,0.98
620,-9.64,-0.73,0.64,2.38,0.24,1.10
