timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.83,-0.12,0.38,-0.92,-0.55,0.79
10,-9.79,-0.08,-1.48,-2.50,-1.22,1.10
20,-9.83,-0.64,0.78,2.87,0.00,1.10
30,-9.80,-0.35,1.27,1.10,-0.24,0.92
40,-9.71,-0.04,-0.45,-2.32,-1.22,0.73
50,-9.78,-0.11,-1.69,-1.83,-1.53,0.79
60,-9.25,-0.42,-0.49,1.46,-0.31,0.79
70,-9.97,-0.43,1.41,2.56,0.55,0.85
80,-9.83,-0.21,0.75,-2.56,-1.53,0.73
90,-9.82,-0.42,-1.41,-0.61,-1.16,0.79
100,-9.82,-0.37,0.46,2.44,0.18,0.92
110,-9.88,-0.34,1.38,1.83,0.49,1.04
120,-9.70,-0.09,-0.13,-1.53,-0.67,0.85
130,-9.74,-0.08,-1.58,-2.20,-1.46,0.98
140,-9.98,-0.45,-0.94,0.73,-0.43,0.98
150,-9.64,-0.62,1.13,0.43,-0.18,0.98
160,-9.89,-0.05,-0.83,-2.44,-1.34,0.92
170,-9.79,-0.24,-1.60,-1.22,-1.28,0.98
180,-9.46,-0.51,-0.08,2.08,-0.12,0.85
190,-9.76,-0.44,1.51,2.20,0.37,0.92
200,-9.76,-0.20,0.37,-1.10,-0.73,0.73
210,-9.79,-0.16,-1.56,-2.44,-1.40,0.73
220,-9.99,-0.53,0.83,2.69,0.37,0.92
230,-9.92,-0.38,1.23,0.92,0.12,1.04
240,-9.61,-0.05,-0.47,-2.08,-1.16,0.73
250,-9.82,-0.12,-1.69,-1.77,-1.53,0.79
260,-9.36,-0.42,-0.47,1.59,-0.31,1.04
270,-9.96,-0.37,1.43,2.69,0.55,0.85
280,-9.76,-0.14,0.72,-0.31,-1.59,0.73
290,-9.70,-0.56,-1.46,-0.55,-1.10,0.73
300,-9.64,-0.45,0.42,2.50,0.06,0.92
310,-9.84,-0.31,1.45,1.83,0.24,0.92
320,-9.79,-0.16,-0.12,-1.53,-1.22,0.79
330,-9.74,-0.11,-1.61,-2.26,-1.59,0.85
340,-9.91,-0.44,-0.96,0.85,-0.61,0.98
350,-9.68,-0.65,1.04,0.37,-0.18,0.85
360,-9.77,-0.15,-0.84,-2.44,-1.46,0.79
370,-9.93,-0.14,-1.58,-1.28,-1.28,0.92
380,-9.61,-0.57,-0.15,1.95,-0.06,0.98
390,-9.80,-0.41,1.50,2.20,0.43,0.85
400,-9.77,-0.09,0.43,-0.98,-0.85,0.73
410,-9.75,-0.13,-1.54,-2.44,-1.65,0.73
