timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.84,-0.32,-1.67,-1.04,-1.16,0.79
10,-9.61,-0.42,1.79,2.38,0.43,0.92
20,-9.72,-0.18,0.12,-1.46,-0.85,0.98
30,-9.79,-0.05,-1.65,-2.69,-1.71,0.92
40,-10.10,-0.04,-1.27,0.61,-0.85,0.85
50,-10.02,-0.58,1.09,3.17,0.55,0.85
60,-9.80,-0.17,1.45,1.04,0.18,0.92
70,-9.68,-0.20,-0.54,-2.44,-1.46,0.79
80,-9.52,-0.43,-0.45,1.83,-0.18,0.92
90,-9.90,-0.47,1.65,2.87,0.61,0.98
100,-9.76,-0.20,0.87,-0.61,-0.67,0.98
110,-9.93,-0.24,-1.50,-2.93,-1.83,0.85
120,-9.68,-0.27,-1.67,-0.67,-1.10,0.98
130,-9.67,-0.62,0.63,2.93,0.37,0.85
140,-9.94,-0.30,1.64,-2.01,-1.28,0.92
150,-9.61,-0.14,-1.87,-2.56,-1.77,0.92
160,-9.43,-0.39,-0.88,1.04,-0.61,0.92
170,-9.58,-0.60,1.33,3.11,0.49,0.85
180,-10.23,-0.07,1.24,0.49,0.00,0.92
190,-9.75,-0.07,-0.95,-2.62,-1.53,0.92
200,-9.80,-0.33,-1.73,-1.34,-1.46,0.85
210,-9.79,-0.46,1.66,2.56,0.55,0.85
220,-9.69,-0.15,0.38,-0.98,-0.61,0.92
230,-9.90,-0.10,-1.53,-2.81,-1.65,0.79
240,-10.13,-0.18,-1.41,-0.18,-0.98,0.92
250,-9.81,-0.62,0.85,2.81,0.37,0.98
260,-9.78,-0.17,1.50,1.28,0.18,0.98
270,-9.68,-0.06,-0.35,-2.26,-1.34,0.98
280,-9.54,-0.47,-0.51,1.65,-0.24,0.92
290,-9.94,-0.58,1.48,2.75,0.61,0.98
300,-9.92,-0.17,0.84,-0.31,-0.37,0.85
310,-9.85,-0.16,-1.35,-2.69,-1.59,0.85
320,-9.74,-0.32,-1.51,-0.67,-1.22,0.92
330,-9.76,-0.65,0.49,2.62,0.12,0.92
340,-9.96,-0.37,1.41,-13.67,-0.98,0.92
350,-9.64,-0.08,-1.61,-2.32,-1.59,0.79
360,-9.55,-0.50,-0.93,0.79,-0.61,1.04
370,-9.53,-0.61,1.16,2.93,0.37,0.98
380,-10.08,-0.10,1.13,0.43,-0.31,0.92
390,-9.90,0.01,-0.86,-2.32,-1.40,0.92
400,-9.83,-0.24,-1.64,-1.10,-1.40,0.98
410,-9.66,-0.56,-0.02,2.26,0.31,0.85
420,-9.78,-0.22,0.26,-1.10,-0.73,0.85
430,-9.78,-0.03,-1.56,-2.56,-1.65,0.85
440,-10.09,0.06,-1.19,0.24,-0.92,0.79
450,-10.04,-0.67,0.94,2.81,0.49,0.85
460,-9.83,-0.25,1.31,0.85,0.06,0.92
470,-9.71,-0.09,-0.47,-2.38,-1.16,0.92
480,-9.81,-0.35,-0.42,1.77,-0.31,0.92
490,-10.09,-0.42,1.50,2.75,0.43,0.98
500,-9.86,-0.19,0.74,-0.61,-0.67,1.04
510,-9.87,-0.24,-1.42,-2.87,-1.71,0.85
520,-9.72,-0.36,-1.56,-0.55,-0.98,0.85
530,-9.60,-0.55,0.62,2.69,0.31,1.04
540,-9.94,-0.32,1.57,1.89,0.31,0.85
550,-9.53,-0.16,-1.81,-2.50,-1.83,0.79
560,-9.56,-0.40,-0.87,1.04,-0.79,0.73
570,-9.36,-0.69,1.35,3.11,0.61,0.85
580,-10.11,-0.15,1.24,0.31,-0.18,0.85
590,-9.87,-0.10,-1.05,-2.81,-1.46,0.79
600,-9.91,-0.27,-1.69,-1.16,-1.34,0.98
610,-9.77,-0.48,0.01,2.50,0.31,0.85
620,-9.70,-0.12,0.31,-1.28,-0.79,0.61
630,-9.92,-0.09,-1.58,-2.99,-1.71,0.85
640,-10.01,-0.06,-1.42,0.24,-0.85,0.92
650,-10.11,-0.51,0.97,3.05,0.55,1.10
660,-9.83,-0.18,1.50,1.16,0.37,1.04
670,-9.61,-0.13,-0.36,-2.38,-1.28,0.92
680,-9.74,-0.16,-1.95,1.59,-0.43,0.92
690,-9.89,-0.51,1.58,3.05,0.49,0.98
700,-9.89,-0.20,0.98,-0.12,-0.31,0.92
710,-9.94,-0.17,-1.35,-2.69,-1.59,0.98
720,-9.71,-0.29,-1.71,-0.67,-1.22,0.98
730,-9.60,-0.62,0.43,2.81,0.00,0.92
740,-9.95,-0.28,1.64,2.14,0.18,0.92
750,-9.49,-0.10,-1.76,-2.38,-1.59,0.98
760,-9.56,-0.34,-0.98,0.85,-0.79,0.98
770,-9.49,-0.69,1.24,3.17,0.37,0.85
780,-10.20,-0.10,1.31,0.61,-0.06,0.92
790,-9.75,-0.08,-0.84,-2.69,-1.46,0.79
800,-9.80,-0.23,-1.73,-1.46,-1.53,0.85
810,-9.79,-0.48,-0.16,2.14,0.00,0.92
820,-9.71,-0.15,0.45,-0.79,-0.67,0.73
830,-9.84,-0.08,-1.49,-2.62,-1.71,0.73
840,-10.01,-0.07,-1.42,0.18,-1.10,0.98
850,-9.99,-0.71,0.80,3.11,0.37,1.10
860,-9.80,-0.21,1.43,1.40,0.43,0.98
870,-9.69,-0.01,-0.29,-2.08,-1.16,0.79
880,-9.67,-0.13,-1.81,1.40,-0.24,0.92
890,-10.00,-0.54,1.41,2.75,0.43,0.92
900,-9.98,-0.14,0.86,-0.06,-0.37,0.79
910,-9.80,-0.19,-1.26,-2.44,-1.59,0.73
920,-9.74,-0.45,-1.51,-0.61,-1.22,0.85
930,-9.60,-0.53,0.40,2.38,0.12,0.79
940,-9.87,-0.36,1.47,1.89,0.31,0.79
950,-9.45,-0.18,0.00,-2.26,-1.65,0.79
960,-9.74,-0.45,-0.99,0.73,-0.55,0.98
970,-9.42,-0.68,1.12,2.81,0.43,0.98
980,-10.01,-0.14,1.17,0.55,-0.24,0.79
990,-9.98,-0.01,-0.87,-2.38,-1.40,0.85
