timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-9.67,-0.19,0.70,-2.69,-1.53,0.98
10,-9.76,0.02,-1.53,-0.37,-0.92,1.04
20,-9.52,-0.65,0.66,2.93,0.37,0.98
30,-9.92,-0.45,1.53,1.71,0.37,1.04
40,-9.78,-0.04,-0.18,-2.08,-0.98,1.10
50,-9.72,-0.06,-1.84,-2.32,-1.59,1.04
60,-9.49,-0.30,-0.65,1.22,-0.55,1.04
70,-9.55,-0.33,1.01,0.18,-0.31,0.92
80,-9.80,-0.13,-1.21,-2.56,-1.59,0.85
90,-9.87,-0.41,-1.54,-0.79,-1.28,1.04
100,-9.72,-0.44,0.15,2.38,0.00,0.92
110,-9.85,-0.33,1.56,2.20,0.49,1.04
120,-9.52,-0.16,0.17,-1.34,-0.73,0.79
130,-9.66,-0.06,-1.48,-2.75,-1.65,0.92
140,-9.94,-0.59,0.97,3.05,0.73,1.10
150,-10.00,-0.22,1.44,1.16,0.18,1.16
160,-9.96,-0.03,-0.58,-2.38,-1.40,0.85
170,-9.76,-0.16,-1.80,-1.83,-1.46,0.98
180,-9.39,-0.43,-0.38,2.01,-0.24,0.92
190,-9.87,-0.52,1.55,2.87,0.37,0.85
200,-9.58,-0.24,0.65,-2.75,-1.65,0.92
210,-9.83,-0.12,-1.45,-0.37,-0.85,0.98
220,-9.74,-0.59,0.61,2.75,0.18,0.85
230,-9.96,-0.47,1.51,1.65,0.12,0.85
240,-9.79,0.02,-0.11,-1.89,-1.16,0.98
250,-9.76,-0.08,-1.82,-2.38,-1.71,0.98
260,-9.48,-0.36,-0.78,1.10,-0.55,0.98
270,-9.53,-0.59,1.43,0.24,0.06,0.98
280,-9.75,-0.06,-1.23,-2.81,-1.46,0.73
290,-9.91,-0.21,-1.48,-1.10,-1.10,1.04
300,-9.57,-0.53,0.22,2.38,0.06,1.10
310,-9.78,-0.35,1.61,2.26,0.43,1.10
320,-9.52,-0.22,0.13,-1.46,-0.73,0.98
330,-9.69,0.02,-1.49,-2.56,-1.40,0.92
340,-9.83,-0.65,1.00,3.11,0.37,0.92
350,-10.00,-0.18,1.37,1.04,-0.06,1.04
360,-9.96,-0.05,-0.64,-2.50,-1.22,0.98
370,-9.82,-0.23,-1.82,-1.77,-1.46,0.98
380,-9.40,-0.45,-0.32,2.01,-0.31,1.10
390,-10.05,-0.41,1.60,2.69,0.49,1.10
400,-9.57,-0.22,0.66,-0.67,-0.67,0.92
410,-9.79,-0.15,-1.41,-0.18,-0.92,1.04
420,-9.67,-0.64,0.70,2.87,0.37,1.10
430,-9.94,-0.46,1.49,1.59,0.24,1.10
440,-9.77,0.05,-0.20,-2.01,-1.10,1.10
450,-9.76,-0.10,-1.84,-2.32,-1.46,0.92
460,-9.54,-0.37,-0.74,1.28,-0.37,0.98
470,-9.49,-0.60,1.42,0.00,-0.12,0.98
480,-9.80,-0.13,-1.18,-2.75,-1.46,0.92
490,-9.93,-0.36,-1.55,-1.16,-1.16,0.92
500,-9.75,-0.47,0.20,2.38,0.06,0.98
510,-9.79,-0.38,1.61,2.38,0.37,1.04
520,-9.49,-0.19,0.20,-1.16,-0.67,0.98
530,-9.59,-0.05,-1.51,-2.56,-1.46,0.85
540,-9.82,-0.27,0.93,3.11,0.37,0.98
550,-9.94,-0.23,1.41,0.92,-0.06,1.04
560,-9.98,-0.01,-0.55,-2.62,-1.40,0.85
570,-9.91,-0.13,-1.79,-1.71,-1.65,0.79
580,-9.53,-0.50,-0.40,2.01,-0.43,1.10
590,-9.92,-0.32,1.51,2.75,0.31,1.16
600,-9.61,-0.22,0.72,-0.55,-0.55,1.04
610,-9.87,-0.00,-1.48,-0.24,-1.10,0.92
620,-9.50,-0.67,0.61,2.81,0.18,1.04
630,-9.90,-0.42,1.54,1.53,0.18,0.92
640,-9.78,-0.04,-0.17,-2.08,-1.10,0.92
650,-9.78,-0.07,-1.80,-2.38,-1.59,0.92
660,-9.53,-0.29,-0.74,1.16,-0.55,0.92
670,-9.56,-0.65,1.43,3.05,-0.24,0.92
680,-9.80,-0.19,-1.19,-2.69,-1.46,0.98
690,-9.93,-0.30,-1.57,-1.10,-1.22,1.04
700,-9.72,-0.40,0.16,2.38,-0.06,1.04
710,-9.80,-0.39,1.60,2.44,0.24,0.98
720,-9.61,-0.14,0.13,-1.10,-0.92,0.92
730,-9.62,0.01,-1.53,-2.69,-1.46,1.04
740,-9.77,-0.23,-1.08,2.99,0.31,0.92
750,-9.97,-0.20,1.35,0.98,-0.06,0.92
760,-10.01,-0.07,-0.64,-2.38,-1.34,0.85
770,-9.78,-0.22,-1.74,-1.77,-1.34,0.85
780,-9.39,-0.38,-0.37,1.89,-0.12,1.10
790,-9.99,-0.42,1.49,2.62,0.24,1.04
800,-9.51,-0.28,0.65,-0.61,-0.49,1.04
810,-9.77,-0.08,-1.37,-0.37,-0.98,0.85
820,-9.71,-0.60,0.64,2.69,0.24,0.85
830,-9.97,-0.47,1.53,1.65,0.00,0.92
840,-9.80,0.02,-0.15,-1.89,-1.22,0.79
850,-9.82,-0.06,-1.90,-2.38,-1.34,0.98
860,-9.66,-0.41,-0.84,1.16,-0.49,0.98
870,-9.41,-0.56,1.43,2.87,0.55,0.98
880,-9.66,-0.18,-1.31,-2.75,-1.53,0.85
890,-9.88,-0.25,-1.55,-0.85,-1.34,0.79
900,-9.57,-0.45,0.27,2.56,0.18,0.79
910,-9.74,-0.36,1.70,2.26,0.49,0.92
920,-9.58,-0.26,0.11,-1.46,-0.92,0.92
930,-9.68,0.02,-1.58,-2.75,-1.59,0.92
940,-9.78,-0.13,-1.13,0.55,0.37,1.04
950,-10.02,-0.16,1.32,0.85,0.00,0.98
960,-10.01,-0.05,-0.65,-2.56,-1.28,0.92
970,-9.84,-0.28,-1.82,-1.71,-1.53,0.98
980,-9.41,-0.49,-0.38,1.77,-0.12,1.16
990,-10.05,-0.37,1.54,2.75,0.55,0.98
